square_feet,num_bedrooms,num_bathrooms,garage_spaces,year_built,lot_size,distance_to_city_center,price
2481,3,3,2,1909,0.10504300665746678,8.777180898879692,493820.46715890703
1495,3,1,2,2023,1.2894339759274094,37.15666108625448,250740.56769937638
3842,2,1,2,1904,0.8572364596585408,3.2735291398015165,666737.2770799797
4298,2,1,2,1950,1.3299755255260186,33.390159706726145,738147.2998653175
1775,5,1,1,1906,1.0572324616120132,29.001493633098153,292646.82185561827
1516,2,3,0,1921,0.7323491947482579,8.217786520152233,280658.61535896995
837,4,2,2,1923,0.28395159098196454,7.636910838164029,234332.33431654883
1378,1,1,0,2003,0.6152986631092412,7.500351797897035,283128.36200015823
1576,3,1,1,1941,1.1913603842101181,13.71640042970945,352018.3790189994
4493,5,2,0,2022,0.38918044694343834,32.44767925149827,738852.3519698709
879,2,3,0,1921,1.082931416286843,11.137490281767164,210344.13143389468
992,5,1,2,2018,0.4086496397336687,33.34367543975193,215129.56776155418
2562,1,2,2,1934,0.7221248483364004,48.613492300446744,454118.6707776224
4384,1,2,1,2009,0.1738764062508084,43.24274812980512,623290.7054958645
564,5,3,2,2015,0.709747765169948,40.10582940283423,227584.71959233377
3068,5,2,0,1954,0.938418689248111,47.507655662407515,495751.18873516074
2527,5,3,0,2017,0.8668111603347851,31.01111934096034,456895.5688557091
3195,3,2,0,1902,0.6393764458746458,38.67431908712406,502872.7374657397
1995,4,1,0,2010,0.5860581498190791,38.922425267358335,291741.24850971677
891,2,3,2,2005,0.44932819834002635,48.75246089651754,215232.21931363858
4974,2,2,1,1970,1.1623008952757405,32.71164902648272,835867.6586063349
4061,2,1,2,1918,1.1848252416537575,14.379762320823911,675985.2378579985
2778,5,2,0,1941,0.7503899474039801,10.588022527393704,541564.6102448875
3599,5,1,1,1945,0.6047145590970672,16.028023025096818,605255.0814010823
700,5,3,1,1971,0.9742633098389274,38.32590143730912,137243.37427014837
3604,3,1,0,1986,0.8587118670379986,33.171122648670895,594870.543101983
2954,3,2,0,1919,1.0175204262940052,11.743439323736895,517595.7321658633
4145,3,1,2,1932,0.4937225217054757,43.13174819329995,643495.6406743103
1304,3,1,1,1905,1.1931068609662894,49.08538938599591,264437.97814965615
3231,1,3,1,1914,0.5092770757355306,38.103308379189706,534160.8807310679
3273,3,1,2,1968,0.6571487442182573,4.043138638781217,649215.2895235124
2070,3,1,0,1977,0.24201295589734628,31.74963650401083,287085.0211107514
3190,3,2,1,1972,1.2902855173247327,46.946896554327886,520539.7898746302
4340,2,2,2,1989,0.9841969322379305,16.335226218819685,792425.6595638208
1528,2,3,1,1995,0.39116623524609934,29.686118806501494,339537.64696551545
1002,2,3,2,1930,1.2849911780133516,12.122255987546493,267374.94975415664
4993,4,3,1,1905,1.0719498615739174,44.153631009418824,736876.0069486946
1370,1,2,0,1900,0.6911613704782616,43.6290581782382,222167.46790198013
4988,5,1,0,1918,1.4852721053722209,18.85830913375657,877016.4872534757
706,3,3,1,1914,0.5389541375885011,18.13502941183051,180955.8942468332
1984,2,2,1,1933,0.1943468717679927,1.0049448815785906,407862.93923747144
1363,1,2,1,1963,1.1135156201542797,16.554920079006685,216206.39796298603
3290,3,3,2,1982,1.147721107676969,39.289585054195484,618371.1481241356
1063,4,2,0,1948,0.13549940375154307,2.402004367272583,273591.65473707725
4691,5,1,2,1974,1.238157726905637,10.934500399269691,812188.2449133685
2257,3,2,0,1981,1.175115195116565,36.78316304644911,456061.7801387141
2178,5,2,0,1987,1.397914739147098,32.75157081786567,334336.10047284653
3742,3,1,2,1945,0.2218962277016882,49.34596960923825,578678.6053540945
1559,4,3,0,1950,0.921173859507306,20.140305411123784,383836.8611246892
2222,1,2,0,1972,0.36816268535388524,7.530738799568732,497246.52189140243
3814,5,1,1,1910,0.6291908319239986,33.57091067493113,573002.7059584213
3657,5,3,2,2006,0.4343817021985254,4.872294650191763,714262.2614362667
3125,1,1,2,1903,0.7014816679058715,6.7209727260318415,543815.6693342282
3229,5,2,0,1981,0.21367067621036906,28.828031525762892,541203.6478281153
2097,2,1,2,2007,0.49009748639596734,24.1267998871929,391588.63911138684
3560,1,3,0,1986,0.15283215658580124,13.916732848247838,609100.7289253455
3193,4,3,0,1940,0.763156382674184,24.42045457014056,663128.3684527104
4127,3,3,2,2000,0.4801906539898456,43.54767748474875,735931.7662852812
1863,3,1,0,1963,0.905947400131405,36.52481668807007,235152.92112952663
2481,1,1,1,1900,0.711846963059244,23.285285631680598,366608.9358648721
2163,2,3,2,1988,0.4035869798731357,16.25570582486467,458938.95807438437
2029,4,3,2,1908,0.1992633169640992,29.527077731941528,316774.37005717563
2538,3,3,0,1938,1.1423091981902043,1.1404372357972243,444877.3982331983
3802,3,2,2,1964,0.9680422034243721,36.92067034231546,618885.6627121982
2737,2,2,2,2015,0.09774849466336225,40.31995586459769,488640.4177106005
1806,5,2,1,1916,1.484580061957391,6.965589753030541,459037.4161925027
4529,1,3,1,1966,0.9816108981665497,20.72854867884299,710409.6169276434
3175,2,2,2,1986,0.35041214076787136,8.108573511508274,486103.37247013836
1782,2,3,0,1900,1.2687204659572646,47.491424805985126,331523.3793181456
1209,2,1,1,1923,1.3290460466196368,41.473427188363964,250370.39130058853
4913,2,3,1,1976,0.8818438253474182,1.9835579845470692,865966.3042493981
4248,5,3,1,2021,1.3340796869204814,48.54876890723308,711806.6995955852
1163,4,2,0,1919,0.09229905696375484,7.949432309587256,245649.2055736126
2498,2,1,2,1963,1.4204917311926917,5.116265864278252,509745.09749809
3945,2,1,2,1919,0.13294524042605652,2.5977802097624294,649955.6075151716
4243,1,1,1,2023,0.9814655927426348,39.7423345572262,733246.6681506507
1995,3,2,2,1975,0.5515472235627101,46.33778198187567,238582.7000419108
3804,5,2,1,1980,0.10700290959693967,5.685540995588209,738245.1272109097
4263,2,2,1,1984,1.3974680450560109,49.182308580636764,635334.459859679
2353,4,2,0,1939,0.24626860592034078,16.47712249215941,318696.7117464402
1791,4,2,0,1987,1.2879290717647696,34.263393144640986,359305.122456558
4081,4,3,1,1929,0.5290002630731558,49.32702113117336,668694.5030585788
3957,1,1,0,1922,1.124687803969022,1.4162711866760942,659887.2382047566
2136,4,2,0,1922,0.4186201452218009,27.79249798534758,390799.8543973942
4196,1,1,0,2019,0.8959792097051016,33.14334091948151,562900.0181875663
3499,5,2,2,1955,1.2093530203601615,19.19671884396766,717796.2647325752
3652,4,3,2,1946,0.8709607539786912,6.388678565960013,632776.6833638
1198,3,1,0,1916,0.49450121728229973,31.43488969261809,240086.17485801064
2660,2,2,2,1901,0.38848181417128763,3.30305715749659,498160.0027629202
4597,5,3,1,2005,0.30346811533354423,46.24848170871326,745461.1107713013
1354,3,3,1,1987,1.2662781569627082,23.641222689888103,222561.83320160335
3974,5,1,0,1932,0.9358668064447443,45.60349494004932,716320.9261920427
2207,4,2,0,2020,0.7875829908983044,41.99090426084435,435283.0633315817
3277,5,3,2,2020,0.41189199155166717,1.1784294690841999,616601.12925161
2233,5,3,0,2008,0.6789422103839728,23.501706451767408,501740.6556634034
4010,5,3,0,2007,0.9490910721142515,44.50231261292753,643805.1448543028
702,1,1,1,1914,0.15422839759246798,19.23745552224228,113125.9835577948
3755,3,1,1,1931,0.5730366580409175,16.83772388076695,567942.2991222258
4718,4,2,2,2005,0.39728029503433165,34.59368481800248,772857.6636303276
4996,2,2,2,1933,0.9874466140801574,35.54746108891334,804053.3588751203
1266,4,1,2,1959,0.9290900615448904,32.51484420469045,229142.94716858727
4889,4,1,0,1985,0.4841524672354978,18.805908095227032,837142.852182367
2827,1,1,0,1930,0.11036454705495445,4.117647664523616,545984.7801819918
3431,1,3,0,1914,0.31507848866983446,46.22719702868667,530130.7072359892
697,5,1,0,1919,0.28209000961261893,16.54353636809755,86408.28969578305
2430,4,2,1,2005,0.8741717856954467,39.986212660700836,354180.66834924946
4082,3,3,2,1986,0.2954726117138364,18.232078910385752,722384.6400756277
1108,1,1,2,1930,0.7493848136957024,25.242470583458477,266762.3201173596
3772,1,2,1,1901,0.9410668141186134,19.309896776241597,609874.9095122762
1647,3,1,1,1912,1.3253700953495844,4.984872020236054,362478.4402201195
4782,1,2,0,2005,0.4052899663114157,17.142911703635303,770333.6698932012
3897,3,3,2,1995,0.31957375756143164,47.82822497299492,612384.2965038464
3011,2,3,2,2012,0.3012180580429373,6.406518467724511,591659.1762843765
2294,3,2,1,1915,0.5726224987925194,28.23623914697986,409872.64849058987
1159,2,2,2,1914,0.9913127680118842,48.45190555042941,250615.35859627387
3311,5,3,1,1924,1.02420051004361,2.0050881256042836,588848.7477941022
1869,5,3,2,1975,0.3558947559521051,4.390300223432556,342344.5182388726
2486,1,2,1,1927,0.2402885051982151,45.54671599614648,359682.7381416605
646,3,2,0,2004,0.7005830039064262,37.04242064409282,114010.78026283602
3719,1,1,2,1911,0.2547273588366241,27.720835917544353,553458.7044675085
3411,3,1,0,2020,1.2287350801771253,27.29546617268789,536905.5761983983
2234,1,3,1,1984,0.17162809885361355,48.76940813695486,383283.27894541563
2343,5,3,2,1975,1.1405353171606516,2.0267427621021574,519925.328987845
988,5,1,2,2014,0.11183947750080614,14.253343510462903,376175.2772881617
3476,1,1,0,1953,1.220126968192742,16.524462658637358,565892.0847516749
2459,3,3,0,1957,0.9593699296052578,6.85511994041938,441431.25549283985
2885,4,3,1,2012,0.5174410034945149,18.504005124042877,584805.9835364448
3419,3,2,0,1915,0.6380018174086904,19.150159970958235,668043.5680872367
2302,1,2,2,1961,1.026744998808102,47.98121509808733,348674.2768243344
4561,3,3,2,1973,0.31916080880190495,22.65900767784734,815682.2585670364
3869,2,1,2,2019,1.3409649701796835,46.803865759272256,570723.0402529112
762,3,2,2,1909,0.7501863445782473,40.69183548565226,145872.52752389153
1123,5,3,0,2015,1.1522022668722653,37.10506085500976,195836.8776381921
1516,5,1,0,1965,0.7847092373729316,17.195650863721543,335438.8359080235
4143,2,1,1,1990,0.7058048812742037,21.921892730940954,674475.0275179208
2549,3,3,0,1951,0.7309425654185308,3.1835202842202883,454051.715210035
4223,4,2,1,1929,0.576530830621494,19.490003039647863,765620.9738596864
3608,3,2,0,1996,1.1124935837223109,43.64988878971697,518138.7427805931
4590,5,3,0,1915,1.2769210434252702,39.28757564697211,854267.5232242463
2556,5,1,2,1909,1.2888751632440656,40.60981203552693,485864.03893107874
3670,1,2,0,1914,0.22566128520441187,11.858429355783938,636860.4902887613
2182,5,3,1,1925,1.1539834627584116,11.29179557378485,522752.59194423805
2755,1,2,2,1960,0.33993419857265267,33.50375591462003,493285.2361052412
1654,5,3,0,2019,0.06765860028563044,32.91209245299301,218282.35204163555
4999,5,2,2,1914,0.4494156011549076,10.570196503968264,784803.5323756614
3691,4,2,2,1905,0.4746594674363389,36.262692059625344,557493.463335819
2196,1,2,2,1980,1.2241941284209708,19.431393020281813,402541.4051243313
4491,1,3,1,2008,1.126474657102016,44.453326444301084,782286.2122501868
2148,5,3,1,1900,0.17279262691779418,18.85941997883596,332929.23376326356
1945,1,1,0,2013,0.5226438962921932,12.26809807897001,299316.2513500366
4699,5,2,2,1986,0.41438477768623994,10.597433598549074,804537.0482014838
4423,5,2,0,1997,0.9134100222897485,45.01176201746587,716205.5359799785
753,3,3,1,1934,0.8351923612145252,43.1414419688773,179386.08327685657
3683,1,2,2,2023,1.0344235680869502,21.867525889173542,595161.2252643585
3057,2,3,1,2006,1.370558256378236,12.795332451586065,658743.0064324677
598,1,1,2,1988,0.6605566584969433,14.942594438334464,196843.10920340277
2700,1,2,2,1900,1.0010898158042418,19.86264165888403,489082.61239766865
3461,4,3,2,1988,1.381611113021551,3.1730469051225794,698479.3928122976
4933,2,3,0,1937,0.8354368474243016,4.297343138462716,758593.4819857934
4277,2,2,1,1979,0.4970074210728561,46.445576792704166,649573.7849235308
3369,4,1,1,2010,0.6342052238929871,38.5397597753487,561402.7923209135
3734,4,3,1,1940,1.1441898021539898,40.885196604131615,665492.2077181119
4291,1,2,2,1911,1.0940161792537018,24.453554758353196,749741.2195476268
1456,3,1,0,1963,1.1352023324454994,18.883982116963388,363146.0647605429
4567,4,3,0,1909,1.1277804909021465,5.506519547315316,812338.080520783
660,2,1,0,1926,1.3846654031004442,28.34617470723937,81574.99433193913
4993,2,3,0,2019,1.157807461467239,37.424577093830415,860688.2456084803
1800,1,2,2,1938,1.2903837748784304,10.599643054115845,460371.4698393488
4487,3,2,2,2005,0.8818818933932335,20.068879553295442,811524.4638823863
2027,5,2,0,1970,0.9840485107755752,46.43835626982707,428815.24456700473
1718,4,1,0,1969,1.4531932373279166,42.343781992037954,317537.3418761515
4996,4,1,1,1944,1.3119362701778943,40.11640264575718,784170.9881339812
3604,1,2,2,1910,1.1771723489231096,2.9322984531370913,626621.5011915709
3235,3,3,0,1923,1.0439962313993623,9.113349260325977,514181.76573388046
1454,2,1,2,1956,0.5698514447754228,15.99600832448311,288006.9947104672
3946,2,1,1,1939,0.8447820674454216,15.878566560110372,600734.8640353577
1545,5,3,0,1988,0.12993587328575784,7.319074819207335,460174.7859893599
2193,2,3,2,1936,0.6534417869260675,15.182930397215745,380681.6822126784
3936,4,2,2,1902,0.21224980571572233,21.979080665064224,719080.1320321856
1062,5,1,2,1967,1.1065273270717342,3.415949164164139,238570.68514642163
2985,3,3,2,1967,1.3438605738238354,20.755691041372543,547337.2273733626
3854,5,3,2,2020,0.3024203437493516,25.330143544903326,678882.7402182505
725,3,2,2,2004,0.4062409065097781,3.005794775982856,221182.55859622368
1459,2,2,1,1900,1.292622366702297,34.035729552187185,263792.5607725243
3567,1,1,2,1993,0.8994566543279692,4.9093426224537575,691535.4321947815
1315,5,3,1,1978,0.9030478800964663,32.748288216921146,372396.0554209588
3620,5,2,1,1944,0.8661707287364924,49.71008397470995,597627.0951698795
516,4,1,2,1930,0.36647810305157114,3.9705794044618066,179821.74698809074
1743,4,2,0,1936,0.4027893720406048,14.336809591989194,282425.3480760084
2705,3,1,2,2013,1.4269825174442146,7.337202867130547,543663.116166502
3024,1,3,1,1968,1.099031720554863,19.09233331606111,465351.0330361017
1569,4,2,2,1942,0.18113000624476466,41.927758445842656,266189.03935004707
3944,4,1,2,1984,0.3732604939049877,46.54293346391777,750454.9185630339
3065,2,1,2,1998,0.959317505712271,42.146359631262676,595111.591247135
1560,2,3,1,1903,0.46102481103972676,34.86231128172778,279601.98088785296
2827,4,2,1,1970,0.4150138012095887,36.14366777343477,526087.362566141
3920,3,1,1,2021,0.34340458985455297,6.903284135069581,658189.3654146224
801,1,1,0,1928,0.3193039521281448,13.186509702542654,110352.64527255908
4776,4,1,0,1999,0.9393293435668442,18.830942223258955,758989.8580871522
1106,3,1,0,1998,1.3634807946284755,3.4567833340678753,272715.0635567204
3670,3,2,0,1995,0.5736411911558608,41.26069283265418,627541.198871422
1199,4,2,2,2005,0.22618747199544914,13.528224473633546,235489.09074583353
1639,3,1,0,2015,0.23023404689387184,3.5621977068496635,362288.03230297816
690,5,2,0,1910,1.4038500721030358,4.5811375174216025,273426.33804078284
2800,3,2,0,2013,0.81666644327091,48.50519135270352,452623.6763742274
1480,4,3,2,1932,0.7261139904827429,45.687234485199674,244904.27441928527
3475,3,3,0,1952,1.3415748037276551,47.978349527178004,576388.8670815765
1684,4,1,0,2004,0.7853137591555511,47.87865178833313,284003.35341382865
3827,2,3,0,2020,0.7468683946304794,40.17226279447924,645958.4231319183
3894,4,2,1,1916,1.3936461737234338,14.522463784846241,756064.7172063178
627,3,1,0,1911,0.7379657282832482,16.913694119209694,88907.29869361193
2565,4,3,0,1900,0.6168935598723051,20.698084139891623,473095.56184603577
2316,1,1,0,1955,0.893410091351706,39.46513117598037,380009.0403181037
1069,4,1,2,1922,1.4669857207240242,46.41189558966565,243101.39873768913
2395,4,3,0,1906,1.447552111770498,22.57520025236884,473260.23418295546
3233,1,2,0,1977,1.1746220358320505,15.772362752124996,538394.8838553642
4363,1,2,1,1940,0.7739572459667752,12.89953760108594,673441.9180979067
4514,1,3,1,2007,1.3281194771361566,13.566986155745015,708332.5273056637
3401,5,3,2,1952,0.6581053186497888,1.3373273556259861,719402.0807024465
2186,4,3,2,2003,0.97820741487348,12.4724712835785,473035.6441222166
3509,1,3,0,1906,0.3101689232718695,15.450991078271906,583522.8371031743
654,1,1,1,1977,1.008867087804761,39.00381814242421,132295.46894498513
3037,2,2,2,1997,0.45035357824110844,27.87788862540506,515478.5754092108
1909,5,2,2,1965,1.1690418233995974,17.223754980492775,475085.0970066393
4557,4,3,1,1983,0.6503582339051648,30.256759188473463,748268.2193769817
1284,3,2,0,1980,0.6276941875926676,39.62737899722642,255867.69440282005
3675,5,2,1,1973,1.1325375887989926,30.89229931025775,639481.4834951237
4841,5,2,0,1952,0.666712026796326,4.441829082452413,728774.0881057692
3306,2,3,0,1904,1.0853309680119885,12.809226285240578,542532.0368227605
1037,4,3,1,1996,1.2898450627925442,15.007352426108744,343709.91422202275
2341,4,2,0,2000,0.24847402028474347,18.783727179089336,376169.62299067975
2955,1,3,2,1935,0.7445833441961295,2.206649181169002,591114.2722459787
1024,1,2,1,1943,1.42012171826378,37.47085633648387,213338.73592759887
3450,5,3,2,2009,1.2276631045824777,24.047841258259307,661947.5605877368
4631,2,2,0,2021,1.4617377856830416,44.93250206170421,743176.6159145102
4615,4,3,0,1910,1.2974472622905093,26.366442351542094,801174.2756391551
2868,2,2,1,1963,0.49981873598267057,49.420116046007934,450185.8846147667
4347,3,3,1,1920,0.309771284584867,35.334028187376035,637703.3220296956
4995,4,3,0,1903,0.3552856164450593,44.45648715764568,816646.5168659166
3201,1,2,1,1988,0.364494470568285,48.69089574052003,571980.5455909077
1471,5,1,0,2004,0.1598177725390052,24.116089837442768,214828.20809619667
1666,2,2,2,1934,1.3648528848163142,32.02258598397079,300752.5982350109
3274,1,2,1,1934,0.778695454467832,45.78783282491358,577094.3013023533
2482,5,1,2,1934,0.19684323675667997,29.189781034021088,412010.16393561003
1353,1,3,1,1938,1.1558303298649093,3.5868567456703175,337681.4243073003
4646,4,1,2,1932,0.5221790615469141,35.15231309705009,746290.8399234604
4236,2,2,0,1976,0.15300438634669247,46.85104380628949,691926.9596302239
4269,3,1,0,1967,0.3251470085997976,39.277186695791585,635289.4409480987
1074,1,3,0,2020,1.0034472464870707,39.77183036176958,110449.86246201594
3761,2,2,0,1943,1.2013091286167243,4.883460954761729,691213.601081421
1648,4,2,1,2003,0.41783123029215175,37.13195270347247,359111.45803973515
2215,1,3,2,1950,0.8867344926962516,2.5804437586251594,473618.2573632563
4354,4,3,1,2019,0.05126520882825597,46.6025664789913,650134.6632927345
2991,3,2,1,1937,0.4536618323799954,45.80095164859973,450669.71598348673
3160,3,3,0,1941,0.31336904167021634,49.03369409087239,485689.1705357937
3624,5,1,1,1944,0.16099202574159358,15.856595133965815,654876.2761522103
3551,5,1,2,1929,0.7516481826950557,27.4734456223342,659046.1082868904
504,5,1,1,1990,0.9649724965066935,29.359331683978507,153608.12071613967
1376,4,1,2,1934,0.11724571280229276,28.279545749033353,289154.15059932217
1491,5,3,0,1927,0.24994220983328708,21.196204175229646,258492.1440696392
4642,2,1,0,1940,1.4018222092040813,49.35801903054344,782546.893169374
4864,4,1,1,2005,0.3735136225937538,44.447970960500854,666656.1353530681
4965,4,2,2,1944,1.151982232503311,30.907225355977495,930779.7758283374
1135,5,3,0,1947,1.134215742739045,32.739198417380976,172540.05260310846
2193,5,3,0,1954,0.5162946284454123,35.99817075189499,357522.20060145203
2182,4,3,1,1907,0.34596950390760867,30.581128484014982,303747.20456154866
619,3,2,2,1925,0.40372830274280336,35.668537565635546,166427.116892004
1330,3,2,0,2006,0.8705535021261759,41.008308431564615,256750.06075137388
4175,5,3,0,1997,0.6026805796089267,48.91599244317298,635197.3338826213
1869,3,1,2,2014,0.7685697694412874,42.60427688087246,266752.01532621257
1240,2,2,1,1928,1.226838100587352,7.338300776406384,337467.53412690386
616,2,2,1,1954,0.7783297579546882,27.773597589141858,134326.65800855673
3338,2,2,0,1965,1.4930819423207895,31.963534328363977,559311.7505113555
1650,4,3,0,1969,1.0154590155353884,14.021087166055514,304596.60186510044
2431,4,1,1,1947,0.3505091042815496,24.30060542015192,460372.8959252718
1512,4,2,1,1979,0.7743022340787384,46.70194445221711,253727.18991254107
2164,4,2,0,1906,1.2294556968473134,13.690172392115384,430468.41766159446
1581,4,3,2,1974,0.36653722558977914,16.54699127408501,313677.6769966257
1012,5,1,2,2022,1.1076621010331442,45.50614643740971,254095.17839168495
3349,3,2,0,1979,0.09850109957677435,5.623913694813005,571827.3111905152
1059,5,3,0,1905,1.416819055529941,44.12814420293108,125872.49077641395
4172,3,3,0,1936,1.011874536650947,15.887193388173555,728102.2082256562
3843,5,2,0,1908,0.285726941092292,25.42335134981078,658579.5814634409
4570,2,3,1,1902,1.3177273140986743,32.499632343630466,694692.6530168419
1970,1,3,2,1952,0.1686399872890654,32.67610673242652,404384.14672917733
1080,4,2,2,1992,0.6385969972870208,49.01904724770489,161242.1414569522
2794,1,3,2,2016,1.1185765424191785,2.703930016330892,583922.1244771325
3647,1,1,1,1907,1.4092396096767343,35.486981271092766,663381.5354999176
4749,2,1,0,1939,0.555774886916879,42.4352820008801,803416.2274692183
2179,1,2,2,1916,1.2542412848969307,29.828126556697608,334989.6785737027
4006,1,1,2,2001,0.3352907736146424,48.810508951615816,646321.0503011607
3244,2,1,1,2007,0.10091003528893623,21.465637120406488,514363.99020341656
3856,3,2,0,1969,0.09170342577419566,37.74324066710821,543963.3300562975
4545,5,3,0,1946,1.0043472122608792,34.632030865117684,763742.2082186782
1743,1,1,0,1910,0.27360059360658145,2.5367858410225637,359845.718428474
3618,4,3,2,1909,0.12297025006510393,28.086754825970093,605911.8252178126
2641,2,2,1,1960,1.466283912455865,13.785028155015592,426082.682445
3559,1,1,2,1901,0.40091778907803444,26.908733354529858,500618.3690945423
3459,3,2,1,2016,0.720704000320349,44.319643588267226,598882.5382298634
2765,3,3,1,1928,0.9389676517238802,31.876193268702796,504249.22411031125
2979,4,2,2,1969,0.25946125310525214,30.100547341333332,545025.9488116662
2135,1,1,1,1950,0.5678948479985211,33.94953269342323,273540.0206486769
2257,4,2,1,2012,0.9891749249142824,26.88755888958035,400622.79102839384
4952,3,2,1,1972,0.9776544903382086,22.94173603549058,797610.0869223871
2570,3,2,0,1965,1.2709830976682173,19.347367725314662,407525.32690406556
3349,5,3,0,1967,0.6842625274943939,35.30366423670654,570951.5510069238
3751,3,3,0,1956,1.3402500570517863,39.01090999130501,578597.2985181661
4230,2,3,0,1940,1.03917946651159,21.738714669846694,687909.4213683206
2989,5,3,2,2003,0.8650525326071137,3.1427662708000264,577171.1883972037
2131,4,1,2,1993,0.21984839778760074,27.614226638827482,334189.635930617
3316,3,3,2,1963,0.8833206726072514,29.10789771315461,526426.99654766
1515,2,3,0,1903,0.9122744258191039,24.470928542975745,231326.96615259963
1848,5,1,2,1900,1.1502663551479222,18.636470428198034,403173.9581479343
3587,2,3,0,2006,1.0927516478511072,44.89998289430894,526865.8411361614
3339,5,2,0,1974,0.8184712600516346,24.57473390457868,589786.6160197027
835,5,3,1,1906,0.9096022985150163,40.14949370997614,245436.5351504908
1395,5,1,1,1981,1.1698969324503408,32.24874442961155,296323.0447867616
